Rank,Conference,Division,Team,PointsPerGame,TotalPoints,PlaysFromScrimmage,YardsPerGame,YardsPerPlay,1stDownPerGame,3rdDownMade,3rdDownAttempted,3rdDownPercent,4thDownMade,4thDownAttempted,4thDownPercent,Penalties,PenaltyYards,Fumbles,FumblesLost,TurnOvers,SuperbowlWin,SuperbowlLoss,SuperbowlPercent,SuperbowlPoints,SuperbowlOpposingPoints,latitude,longitude
9,NFC,NFC_West,Arizona Cardinals,26.1,418,"1,086",366.8,5.4,23,87,214,41,5,10,50,104,889,27,11,0,0,1,0,23,27,33.27,-112.05
2,NFC,NFC_South,Atlanta Falcons,33.8,540,995,415.8,6.7,23.7,75,178,42,8,14,57,104,847,8,4,11,0,2,0,19,34,33.45,-84.23
17,AFC,AFC_North,Baltimore Ravens,21.4,343,"1,079",347.7,5.2,19.8,86,233,37,8,19,42,125,"1,111",19,7,5,2,0,1,68,38,39.17,-76.37
16,AFC,AFC_East,Buffalo Bills,24.9,399,"1,012",354.1,5.6,20.5,86,210,41,8,15,53,112,960,15,5,6,0,4,0,73,139,42.54,-78.53
19,NFC,NFC_South,Carolina Panthers,23.1,369,"1,052",343.7,5.2,19.9,83,223,37,11,17,65,98,850,13,10,-2,0,2,0,29,32,35.14,-80.5
15,NFC,NFC_North,Chicago Bears,17.4,279,967,356.5,5.9,20.2,70,185,38,4,14,29,110,967,26,12,-20,1,1,0.5,63,39,41.53,-87.38
13,AFC,AFC_North,Cincinnati Bengals,20.3,325,"1,050",356.9,5.4,21.3,82,210,39,7,9,78,88,726,20,9,3,0,2,0,37,46,39.06,-84.31
30,AFC,AFC_North,Cleveland Browns,16.5,264,983,311,5.1,18.5,77,212,36,13,18,72,95,736,26,11,-12,0,0,0,0,0,41.3,-81.41
5,NFC,NFC_East,Dallas Cowboys,26.3,421,"1,010",376.7,6,22.4,80,189,42,8,9,89,105,879,22,9,5,5,3,0.625,221,132,32.47,-96.48
27,AFC,AFC_West,Denver Broncos,20.8,333,"1,020",323.1,5.1,18.1,75,219,34,9,17,53,119,985,24,14,2,3,5,0.375,115,206,39.43,-105.01
21,NFC,NFC_North,Detroit Lions,21.6,346,981,338.8,5.5,20.6,83,195,43,7,10,70,100,861,9,5,-1,0,0,0,0,0,42.2,-83.03
8,NFC,NFC_North,Green Bay Packers,27,432,"1,029",368.8,5.7,21.8,98,210,47,7,17,41,100,827,21,9,8,4,1,0.8,158,101,44.3,-88.01
29,AFC,AFC_South,Houston Texans,17.4,279,"1,071",314.7,4.7,19.1,87,233,37,9,23,39,87,868,20,8,-7,0,0,0,0,0,31,-95.22
10,AFC,AFC_South,Indianapolis Colts,25.7,411,"1,037",364.4,5.6,21.9,87,202,43,8,18,44,102,883,16,7,-5,2,2,0.5,69,77,39.46,-86.09
23,AFC,AFC_South,Jacksonville Jaguars,19.9,318,"1,052",334.9,5.1,20.1,78,221,35,7,16,44,129,"1,178",23,13,-16,0,0,0,0,0,30.2,-81.4
20,AFC,AFC_West,Kansas City Chiefs,24.3,389,990,343,5.5,19.1,81,213,38,10,14,71,109,848,18,9,16,1,1,0.5,33,42,39.06,-94.37
32,NFC,NFC_West,Los Angeles Rams,14,224,960,262.7,4.4,15.3,67,213,32,8,20,40,126,"1,091",24,9,-11,1,2,0.333,59,67,34,-118
24,AFC,AFC_East,Miami Dolphins,22.7,363,912,332.8,5.8,17.4,69,188,37,0,4,0,125,"1,141",26,8,2,2,3,0.4,74,103,25.46,-80.12
28,NFC,NFC_North,Minnesota Vikings,20.4,327,"1,006",315.1,5,18.9,81,213,38,8,18,44,103,882,20,11,11,0,4,0,34,95,44.59,-93.13
4,AFC,AFC_East,New England Patriots,27.6,441,"1,056",386.2,5.9,21.9,104,227,46,8,12,67,93,819,27,9,12,5,4,0.556,138,186,42.21,-71.04
1,NFC,NFC_South,New Orleans Saints,29.3,469,"1,105",426,6.2,24.7,107,220,49,13,15,87,107,969,17,9,-3,1,0,1,31,17,29.58,-90.07
25,NFC,NFC_East,New York Giants,19.4,310,"1,018",330.7,5.2,18.1,78,219,36,9,19,47,88,857,22,11,-2,4,1,0.8,104,104,40.73,-73.91
26,AFC,AFC_East,New York Jets,17.2,275,"1,003",329.2,5.3,18.2,76,210,36,8,19,42,93,837,24,9,-20,1,0,1,16,7,40.43,-74.01
6,AFC,AFC_West,Oakland Raiders,26,416,"1,048",373.3,5.7,20.9,83,218,38,6,13,46,147,"1,251",17,7,16,3,2,0.6,132,114,37.47,-122.13
22,NFC,NFC_East,Philadelphia Eagles,22.9,367,"1,080",337.4,5,20.8,85,224,38,13,27,48,113,945,24,6,6,0,2,0,31,51,39.57,-75.07
7,AFC,AFC_North,Pittsburgh Steelers,24.9,399,"1,026",372.6,5.8,21,83,202,41,9,16,56,113,"1,068",16,3,5,6,2,0.75,193,164,40.26,-80
14,AFC,AFC_West,San Diego Chargers,25.6,410,"1,014",356.8,5.6,21.2,85,200,42,6,12,50,107,780,22,14,-7,0,1,0,26,49,32.73,-117.09
31,NFC,NFC_West,San Francisco 49ers,19.3,309,996,308.1,4.9,17.9,78,222,35,10,19,53,99,831,29,15,-5,5,1,0.833,219,123,37.48,-122.24
12,NFC,NFC_West,Seattle Seahawks,22.1,354,"1,012",357.2,5.6,19.6,79,207,38,4,11,36,117,970,22,6,1,1,2,0.333,10,21,47.36,-122.2
18,NFC,NFC_South,Tampa Bay Buccaneers,22.1,354,"1,066",346.4,5.2,21.2,94,214,44,4,9,44,109,926,19,9,2,1,0,1,48,21,27.57,-82.27
11,AFC,AFC_South,Tennessee Titans,23.8,381,"1,008",358,5.7,20.1,100,217,46,4,11,36,110,"1,012",17,7,0,0,1,0,16,23,36.09,-86.48
3,NFC,NFC_East,Washington Redskins,24.8,396,"1,009",403.4,6.4,21.6,90,199,45,7,14,50,110,909,19,9,0,3,2,0.6,122,103,38.54,-77.01
